case_id,runs_in_test,correct_runs,consistency_percent
1,9,7,77.77777777777777
2,9,9,100.0
3,9,9,100.0
4,9,9,100.0
5,9,9,100.0
7,9,9,100.0
9,9,9,100.0
11,9,9,100.0
12,9,9,100.0
14,9,9,100.0
15,9,4,44.44444444444444
16,9,9,100.0
17,9,9,100.0
18,9,2,22.22222222222222
19,9,9,100.0
21,9,9,100.0
22,9,9,100.0
23,9,9,100.0
24,9,9,100.0
25,9,9,100.0
26,9,0,0.0
27,9,9,100.0
28,9,9,100.0
30,9,9,100.0
32,9,6,66.66666666666667
34,9,9,100.0
36,9,9,100.0
38,9,9,100.0
40,9,9,100.0
41,9,9,100.0
42,9,9,100.0
43,9,9,100.0
44,9,9,100.0
45,9,5,55.55555555555556
46,9,0,0.0
47,9,3,33.333333333333336
48,9,9,100.0
49,9,9,100.0
50,9,9,100.0
51,9,6,66.66666666666667
52,9,9,100.0
53,9,9,100.0
54,9,9,100.0
55,9,9,100.0
56,9,0,0.0
57,9,9,100.0
58,9,9,100.0
59,9,9,100.0
60,9,9,100.0
61,9,9,100.0
63,9,9,100.0
64,9,9,100.0
66,9,9,100.0
67,9,9,100.0
68,9,9,100.0
69,9,5,55.55555555555556
70,9,7,77.77777777777777
72,9,9,100.0
73,9,9,100.0
75,9,8,88.88888888888889
77,9,5,55.55555555555556
78,9,6,66.66666666666667
79,9,9,100.0
80,9,9,100.0
82,9,9,100.0
83,9,9,100.0
84,9,6,66.66666666666667
85,9,9,100.0
86,9,3,33.333333333333336
87,9,9,100.0
88,9,9,100.0
89,9,9,100.0
90,9,9,100.0
91,9,9,100.0
92,9,7,77.77777777777777
93,9,4,44.44444444444444
94,9,9,100.0
95,9,9,100.0
96,9,7,77.77777777777777
97,9,6,66.66666666666667
98,9,9,100.0
99,9,9,100.0
100,9,9,100.0
101,9,9,100.0
104,9,9,100.0
106,9,9,100.0
107,9,9,100.0
108,9,9,100.0
109,9,8,88.88888888888889
110,9,9,100.0
111,9,4,44.44444444444444
118,9,9,100.0
119,9,9,100.0
